id;nombre;fecha_estimada_ejecucion;descripcion;estado
1;Francia program;2022-07-05T03:16:57;eyeballs Interno;REALIZADA
2;Intranet Lugar;2022-07-04T20:56:27;Desarrollador Camboya;REALIZADA
3;Guapa;2022-07-05T05:15:49;de;REALIZADA
4;Planificador Tanzanian;2022-07-04T21:04:06;holistic iterate;PENDIENTE
5;Clonado Ordenador;2022-07-05T15:08:59;Savings Re-implementado;REALIZADA
6;generating hacking;2022-07-04T20:24:46;JBOD;REALIZADA
7;XML Futuro;2022-07-05T01:24:16;generating navigate;REALIZADA
8;Teclado GB Bedfordshire;2022-07-05T10:30:48;hard;PENDIENTE
9;Bedfordshire Borders;2022-07-05T05:04:16;virtual tolerante;REALIZADA
10;Operaciones sensor Refinado;2022-07-05T03:52:58;ubiquitous cultivate Amarillo;PENDIENTE
